Name,Nickname,Born Year,Age,From,Height (m),Weight (kg),Weight Class,Style,Stance,Tradition (Kun Krou),Gym,Trainer(s),Wins (Career),Losses (Career),Draws (Career),TKOs (Career),+W (Log),+L (Log),+D (Log),+TKO (Log),Total Wins,Total Losses,Total Draws,Total TKOs,Total Fights,Win %,TKO Win %,Last Updated,Profile,Helper · Win % (filtered),Helper · TKO % (filtered),Helper · Fights,Helper · Wins,Helper · TKOs,Helper · Losses
Lao Chantrea,Kaeng Machureach (the Killer Elbow),1994,32,Kampong Speu,1.75,73.0,Middleweight (≤75kg),Kun Khmer,Southpaw,,Special Forces Command 911,Hang Soeun,137,11,6,73,-,-,-,-,137,11,6,73,154,89.0%,53.3%,2026-03-28,Profile,89.0%,53.3%,154,137,73,11
Koramak Chanreach,(Chungkun Hos (the Flying Knee),2007,19,Phnom Penh,1.70,54.0,Bantamweight (≤54kg),"Kun Khmer, MMA",Orthodox,,Mahintrak Kun Khmer,Hun Chanreach,62,6,4,27,-,-,-,-,62,6,4,27,72,86.1%,43.5%,2026-03-20,Profile,86.1%,43.5%,72,62,27,6
Kong Sambo,Kon Neak Sor (the Little White Dragon),1991,35,Phnom Penh,1.70,65.0,Welterweight (≤67kg),Kun Khmer,Southpaw,Rumleuk Kun Krou (Honoring the Master),Kun Khmer Super Fight,Phat Soda,78,30,5,29,-,-,-,-,78,30,5,29,113,69.0%,37.2%,2024-05-31,Profile,69.0%,37.2%,113,78,29,30
Kong Hov,Runtah Choeung Damrei Chaon Kla (the thunderous kick of Damrei Choin Khla),2001,25,Kampong Thom,1.73,60.0,Lightweight (≤60kg),Kun Khmer,Orthodox,Preah Lak Poit Seima (Lakshmana drawing protective circle),Mesor Thngok Svay Rieng,Vong Khmer,89,18,5,44,-,-,-,-,89,18,5,44,112,79.5%,49.4%,2025-03-30,Profile,79.5%,49.4%,112,89,44,18
Koeum Sovannkhim,Kandap Dai Pyus Samot (The Storm Fist of the Sea),2006,20,Battambang,1.63,54.0,Bantamweight (≤54kg),Kun Khmer,Southpaw,Krong Reap Samdaeng Rithi (Ravana Showing Off his Might),Kun Khmer Super Fight,Phat Soda,57,10,1,22,-,-,-,-,57,10,1,22,68,83.8%,38.6%,2026-03-26,Profile,83.8%,38.6%,68,57,22,10
Kim Veasna,Kandab Dai Thmor Tonle Vaiko (the Stone Fist of Vaiko River),1999,27,Svay Rieng,1.70,69.0,Light Middle (≤71kg),Kun Khmer,Orthodox,,Special Forces Command 911,Hang Makhen,90,32,4,32,-,-,-,-,90,32,4,32,126,71.4%,35.6%,2026-03-29,Profile,71.4%,35.6%,126,90,32,32
Khuon Laingkosin,,1996,30,Banteay Mean Chey,1.68,57.0,Featherweight (≤57kg),Kun Khmer,Orthodox,Rumleuk Kun Krou (Honoring the Master),Sann Sao Yann Neakea,"Sann Sao Yann, Chea Neakea",68,12,3,18,-,-,-,-,68,12,3,18,83,81.9%,26.5%,2026-03-14,Profile,81.9%,26.5%,83,68,18,12
Khorn Somaly,The All-in Fighter,2004,22,Siem Reap,1.68,54.0,Bantamweight (≤54kg),Kun Khmer,Southpaw,,Mesor Thngok Svay Rieng,Vong Khmer,45,7,3,22,-,-,-,-,45,7,3,22,55,81.8%,48.9%,2026-03-15,Profile,81.8%,48.9%,55,45,22,7
Khim Dima,Neak Khmao,1990,36,Banteay Mean Chey,,,,60 kg,Orthodox,,RCAF Boxing,RCAF Boxing,70,15,2,27,-,-,-,-,70,15,2,27,87,80.5%,38.6%,2026-04-18,Profile,80.5%,38.6%,87,70,27,15
Khim Bora,Neak Meas Banteay Mean Chey (the Naga of Banteay Meanchey),1998,28,Banteay Mean Chey,1.76,60.0,Lightweight (≤60kg),Kun Khmer,Southpaw,Preah Lak Poit Seima (Lakshmana drawing protective circle),Rasmey Phum Keap Boxing,Heng Bunkhim,131,33,2,61,-,-,-,-,131,33,2,61,166,78.9%,46.6%,2026-03-21,Profile,78.9%,46.6%,166,131,61,33
Khem Chan,Tea Hean Khnay Meas,2000,26,Prey Veng,1.67,57.0,Featherweight (≤57kg),Kun Khmer,Orthodox,Preah Lak Poit Seima (Lakshmana drawing protective circle),Special Forces Command 911,Hang Makhen,70,19,2,15,-,-,-,-,70,19,2,15,91,76.9%,21.4%,2026-04-17,Profile,76.9%,21.4%,91,70,15,19
Kham Neakreach,,2006,20,Banteay Mean Chey,1.83,72.0,Middleweight (≤75kg),Kun Khmer,Orthodox,,Reachasey Mean Rithi,Bird Kham,18,-,-,15,-,-,-,-,18,-,-,15,18,100.0%,83.3%,2026-03-22,Profile,,83.3%,18,18,15,(0)
Kham Konkhla,,2004,22,Kampong Thom,1.70,60.0,Lightweight (≤60kg),Kun Khmer,Orthodox,Rumleuk Kun Krou (Honoring the Master),Reachasey Mean Rithi,Bird Kham,98,10,2,23,-,-,-,-,98,10,2,23,110,89.1%,23.5%,2026-03-15,Profile,89.1%,23.5%,110,98,23,10
Kham Khlaneang,,2000,26,Kampong Chhnang,1.65,54.0,Bantamweight (≤54kg),Kun Khmer,Orthodox,Rumleuk Kun Krou (Honoring the Master),Reachasey Mean Rithi,Bird Kham,144,15,2,65,-,-,-,-,144,15,2,65,161,89.4%,45.1%,2026-03-15,Profile,89.4%,45.1%,161,144,65,15
Keo Rumchong,,1988,38,Battambang,1.68,72.0,Middleweight (≤75kg),Kun Khmer,Switch,,"The Riel Team, KKIF",Svay Sokhon,169,12,11,71,-,-,-,-,169,12,11,71,192,88.0%,42.0%,2026-03-15,Profile,88.0%,42.0%,192,169,71,12
Kan Menghong,,2006,20,Kandal,1.65,57.0,Featherweight (≤57kg),"Kun Khmer, Kick Boxing",Southpaw,Entri Samdaeng Rithi (Eagle showing off its Might),KKIF,Srey Reachbotr,153,21,1,69,-,-,-,-,153,21,1,69,175,87.4%,45.1%,2026-03-22,Profile,87.4%,45.1%,175,153,69,21
Hong Sovan Chansothy,Teahean Khnay Tann (the Steel Spur Soldier),2003,23,Kampong Speu,1.70,60.0,Lightweight (≤60kg),Kun Khmer,Orthodox,Preah Lak Poit Seima (Lakshmana drawing protective circle),Special Forces Command 911,Hang Makhen,95,13,5,34,-,-,-,-,95,13,5,34,113,84.1%,35.8%,2026-03-29,Profile,84.1%,35.8%,113,95,34,13
Him Serey,Meat La-et Chet Damrey (small body with big gut),1998,28,Kampong Speu,1.60,51.0,Flyweight (≤51kg),Kun Khmer,Orthodox,,Chrey Saen Chey Kampong Speu,Meas Sokry,103,20,5,38,-,-,-,-,103,20,5,38,128,80.5%,36.9%,2026-03-15,Profile,80.5%,36.9%,128,103,38,20
Him Kimrieng,"Chungkung Pikheat Dambang Kranhoung (Killer Knee, rosewood stick)",2005,21,Battambang,1.72,54.0,Bantamweight (≤54kg),Kun Khmer,Orthodox,Entri Samdaeng Rithi (Eagle showing off its Might),Sopheap Kun Khmer,Ven Sovath,73,12,1,31,-,-,-,-,73,12,1,31,86,84.9%,42.5%,2026-03-22,Profile,84.9%,42.5%,86,73,31,12
Hang Sam An,Nak Chambang Korng Toip Pises (the Special Force Warrior),2000,26,Takeo,1.70,63.5,Light Welter (≤63.5kg),Kun Khmer,Southpaw,Preah Lak Poit Seima (Lakshmana drawing protective circle),Special Forces Command 911,Hang Makhen,56,18,7,28,-,-,-,-,56,18,7,28,81,69.1%,50.0%,2026-03-22,Profile,69.1%,50.0%,81,56,28,18
Han Pi,Pich Kheat Muk Sros (The Angel of Death),2008,18,Battambang,1.68,57.0,Featherweight (≤57kg),Kun Khmer,Orthodox,,Reahu Keila Battambang,Chhut Serey,53,7,2,29,-,-,-,-,53,7,2,29,62,85.5%,54.7%,2026-03-15,Profile,85.5%,54.7%,62,53,29,7
Em Lengly,,1994,32,Kampong Cham,1.75,69.0,Light Middle (≤71kg),Kun Khmer,Orthodox,Entri Samdaeng Rithi (Eagle showing off its Might),Kun Khmer Daun Ta,Khim Socheat,105,18,6,40,-,-,-,-,105,18,6,40,129,81.4%,38.1%,2026-03-29,Profile,81.4%,38.1%,129,105,40,18
Em Daro,,2002,24,Prey Veng,1.70,65.0,Welterweight (≤67kg),Kun Khmer,Orthodox,Entri Samdaeng Rithi (Eagle showing off its Might),Kun Khmer Daun Ta,Khim Socheat,55,16,1,10,-,-,-,-,55,16,1,10,72,76.4%,18.2%,2026-03-15,Profile,76.4%,18.2%,72,55,10,16
Eh Yanuth,Reachni Trakol Eh (the Queen of the Ehs),2000,26,Koh Kong,1.65,57.0,Featherweight (≤57kg),Kun Khmer,Orthodox,,Eh Phouthong Kun Khmer,Eh Phouthong,32,9,6,11,-,-,-,-,32,9,6,11,47,68.1%,34.4%,2026-03-14,Profile,68.1%,34.4%,47,32,11,9
Eh Naroth,,1999,27,Prey Veng,1.63,57.0,Featherweight (≤57kg),Kun Khmer,Orthodox,,Eh Phouthong Kun Khmer,Eh Phouthong,81,16,2,23,-,-,-,-,81,16,2,23,99,81.8%,28.4%,2026-03-21,Profile,81.8%,28.4%,99,81,23,16
Eh Amarin Phouthong,,2005,21,Koh Kong,1.85,68.0,Light Middle (≤71kg),"Kun Khmer, Kick Boxing",Orthodox,,Eh Phouthong Kun Khmer,Eh Phouthong,81,6,3,53,-,-,-,-,81,6,3,53,90,90.0%,65.4%,2026-04-16,Profile,90.0%,65.4%,90,81,53,6
Dim Sarom,Phka Rik Bang Sleuk (The Hidden Bloom),2008,18,Kampong Speu,1.62,51.0,Flyweight (≤51kg),"Kun Khmer, Kick Boxing",Southpaw,Entri Samdaeng Rithi (Eagle showing off its Might),KKIF,Sam Ang Dun,28,2,1,14,-,-,-,-,28,2,1,14,31,90.3%,50.0%,2026-03-22,Profile,90.3%,50.0%,31,28,14,2
Choir Pov,Nak Leng Kaeng Chhok (the swift elbow),1998,28,Kampong Thom,1.70,60.0,Lightweight (≤60kg),Kun Khmer,Southpaw,Rumleuk Kun Krou (Honoring the Master),Kun Khmer Daun Ta,Khim Socheat,74,25,2,33,-,-,-,-,74,25,2,33,101,73.3%,44.6%,2026-03-21,Profile,73.3%,44.6%,101,74,33,25
Chin Chang,,2003,23,Siem Reap,1.70,63.5,Light Welter (≤63.5kg),Kun Khmer,Southpaw,Neak Leng Teuk (Naga Dancing in Water),Khlaing Moeung Keila,Men Chhay Mov,52,17,2,20,-,-,-,-,52,17,2,20,71,73.2%,38.5%,2026-03-15,Profile,73.2%,38.5%,71,52,20,17
Chhut Sereyvanthong,Reahu Meas (the Golden Rahu),1999,27,Battambang,1.70,60.0,Lightweight (≤60kg),"Kun Khmer, Kick Boxing",Orthodox,Rumleuk Kun Krou (Honoring the Master),Reahu Keila Battambang,Chhut Serey,101,12,1,53,-,-,-,-,101,12,1,53,114,88.6%,52.5%,2026-03-15,Profile,88.6%,52.5%,114,101,53,12
Chhoeung Lvei,Neakareach Khmao Chaktomuk (the Black Naga of Chaktomuk),1999,27,Kampong Thom,1.83,75.0,Middleweight (≤75kg),Kun Khmer,Orthodox,Neak Pruos Peuh (Naga spitting venom),KKIF,Srey Reachbotr,122,36,2,71,-,-,-,-,122,36,2,71,160,76.3%,58.2%,2026-03-29,Profile,76.2%,58.2%,160,122,71,36
Chan Sam Art,Kandap Dai Pyus Samot (The Storm Fist of the Sea),1995,31,Oddar Meanchey,1.68,63.5,Light Welter (≤63.5kg),"MMA, Kun Khmer",Orthodox,Entri Samdaeng Rithi (Eagle showing off its Might),Kun Khmer Daun Ta,Khim Socheat,108,25,3,30,-,-,-,-,108,25,3,30,136,79.4%,27.8%,2026-03-28,Profile,79.4%,27.8%,136,108,30,25
Chan Rothana,,1986,40,Siem Reap,1.67,64.0,Welterweight (≤67kg),"MMA, Kun Khmer, Bokator",Orthodox,Prum Muk Buon (Four-faced Brama),FFG/Selapak,"Chan Bunthoeun, Sen Bunthen",82,36,4,46,-,-,-,-,82,36,4,46,122,67.2%,56.1%,2026-03-14,Profile,67.2%,56.1%,122,82,46,36
Chan Bunhoeun,Nak Leng Runtah Cheung Pikheat (the thunderous kick),1996,30,Kampong Speu,1.75,65.0,Welterweight (≤67kg),Kun Khmer,Southpaw,Rumleuk Kun Krou (Honoring the Master),KKIF,Srey Reachbotr,133,26,5,64,-,-,-,-,133,26,5,64,164,81.1%,48.1%,2026-03-15,Profile,81.1%,48.1%,164,133,64,26
Chamroen Kun Khmer,,1998,28,Battambang,1.71,57.0,Featherweight (≤57kg),Kun Khmer,Southpaw,Rumleuk Kun Krou (Honoring the Master),Kun Khmer Daun Ta,Khim Socheat,78,13,1,40,-,-,-,-,78,13,1,40,92,84.8%,51.3%,2025-07-03,Profile,84.8%,51.3%,92,78,40,13
Buntong Kun Khmer,,2005,21,Battambang,1.70,51.0,Flyweight (≤51kg),Kun Khmer,Southpaw,Rumleuk Kun Krou (Honoring the Master),Kun Khmer Daun Ta,Khim Socheat,62,6,2,30,-,-,-,-,62,6,2,30,70,88.6%,48.4%,2026-03-21,Profile,88.6%,48.4%,70,62,30,6
Bun Sothea,Khlarokhen Khet Kampong Cham (Kampong Cham’s Panther),2002,24,Kampong Cham,1.78,57.0,Featherweight (≤57kg),Kun Khmer,Orthodox,,RCAF Boxing Gym,Thun Sophea,105,20,4,80,-,-,-,-,105,20,4,80,129,81.4%,76.2%,2026-03-15,Profile,81.4%,76.2%,129,105,80,20
